reference,partner,cutoff_nm,coord_lo,coord_mid,coord_hi,rel_spread,mag_sensitivity,shell_across_band
backbone_O,water_O,0.333,1.931,3.995,5.963,1.009,high,True
backbone_O,choline_N,0.412,0.044,0.263,0.533,1.855,high,True
motif_Glu,water_O,0.327,3.146,5.509,7.446,0.781,high,True
motif_Glu,choline_N,0.522,0.276,0.444,0.633,0.804,high,True
motif_Glu,glycerol_O,0.317,0.258,0.631,0.806,0.869,high,True
flank_Glu,water_O,0.327,9.568,16.76,22.647,0.78,high,True
flank_Glu,choline_N,0.527,0.865,1.38,1.993,0.817,high,True
flank_Glu,glycerol_O,0.317,0.764,1.853,2.368,0.866,high,True
