reference,partner,cutoff_nm,pooled_coord,ci95,N_eff_pooled,per_atom,structured_shell,note
backbone_O,water_O,0.333,4.6432,0.0976,940.6,1.5477,True,compact:4.545±0.332(Neff85);extended:4.784±0.136(Neff458);mid:4.600±0.150(Neff398)
backbone_O,choline_N,0.412,0.3969,0.0349,1288.1,0.1323,True,compact:0.381±0.054(Neff501);extended:0.390±0.063(Neff387);mid:0.420±0.065(Neff400)
backbone_O,chloride,,0.0,0.0,,0.0,False,no shell → no coordination
backbone_O,urea_N,0.423,0.9229,0.0454,3023.9,0.3076,True,compact:0.926±0.074(Neff1113);extended:0.911±0.074(Neff1099);mid:0.932±0.089(Neff812)
backbone_O,urea_O,0.562,1.2849,0.0565,2203.4,0.4283,True,compact:1.324±0.093(Neff794);extended:1.261±0.088(Neff891);mid:1.270±0.119(Neff518)
