reference,partner,cutoff_nm,coord_lo,coord_mid,coord_hi,rel_spread,mag_sensitivity,shell_across_band
backbone_O,water_O,0.338,2.953,5.4,7.854,0.907,high,True
motif_Tyr,water_O,0.358,3.443,6.692,10.885,1.112,high,True
