label,target_pct,frame,time_ns,Rg_nm,motif_SASA_nm2,pdb_path
compact,10,79758,79.8,0.6,2.343,/Users/rossgibson/des-peptide-study/extension/start_frames/GGE_water/GGE_water_compact.pdb
mid,50,33347,33.3,0.673,2.004,/Users/rossgibson/des-peptide-study/extension/start_frames/GGE_water/GGE_water_mid.pdb
open,90,26165,26.2,0.816,2.444,/Users/rossgibson/des-peptide-study/extension/start_frames/GGE_water/GGE_water_open.pdb
