reference,partner,cutoff_nm,pooled_coord,ci95,N_eff_pooled,per_atom,structured_shell,note
motif_Glu,water_O,0.322,6.3564,0.0201,9390.2,3.1782,True,compact:6.368±0.039(Neff2438);extended:6.356±0.049(Neff1556);mid:6.390±0.028(Neff4596);open:6.312±0.072(Neff799)
flank_Glu,water_O,0.322,19.3362,0.0215,22955.7,3.2227,True,compact:19.188±0.052(Neff3984);extended:19.432±0.052(Neff3921);mid:19.159±0.046(Neff5037);open:19.566±0.032(Neff10015)
