pair,observable,delta_mean,z,overlap
compact vs extended,RG,-0.0499,2.31,0.5
compact vs extended,SASA,0.02,0.24,0.84
compact vs mid,RG,-0.0345,2.49,0.7
compact vs mid,SASA,-0.0365,0.62,0.93
extended vs mid,RG,0.0154,0.76,0.68
extended vs mid,SASA,-0.0565,0.74,0.84
