pair,observable,delta_mean,z,overlap
compact vs extended,RG,-0.0607,3.23,0.49
compact vs extended,SASA,-0.1417,1.58,0.73
compact vs mid,RG,0.0254,1.74,0.77
compact vs mid,SASA,0.0034,0.07,0.92
compact vs open,RG,-0.0324,2.17,0.71
compact vs open,SASA,-0.0632,1.53,0.88
extended vs mid,RG,0.0861,5.32,0.29
extended vs mid,SASA,0.1451,1.51,0.76
extended vs open,RG,0.0284,1.72,0.66
extended vs open,SASA,0.0785,0.84,0.8
mid vs open,RG,-0.0578,5.03,0.49
mid vs open,SASA,-0.0666,1.22,0.9
