observable,dropped,mean_without,shift,shift_gt_ci
RG,compact,0.644,0.0066,False
RG,extended,0.6273,-0.01,False
RG,mid,0.6325,-0.0049,False
RG,open,0.6456,0.0083,False
SASA,compact,5.272,-0.0049,False
SASA,extended,5.2786,0.0017,False
SASA,mid,5.2598,-0.0171,False
SASA,open,5.2972,0.0203,False
