observable,dropped,mean_without,shift,shift_gt_ci
RG,compact,0.7328,-0.0007,False
RG,extended,0.7133,-0.0201,False
RG,mid,0.7486,0.0151,False
RG,open,0.7392,0.0058,False
SASA,compact,3.4359,0.0369,False
SASA,extended,3.3073,-0.0917,True
SASA,mid,3.4467,0.0477,False
SASA,open,3.406,0.007,False
